col_1,col_2,col_3,table_index,date,race_num
TRIO,"4,7,12","65,503.00",0,2025-04-13,9
FIRST 4,"4,7,10,12","13,358.00",0,2025-04-13,9
QUARTET,"4,12,7,10","1,291,048.00",0,2025-04-13,9
8TH DOUBLE,9/4,"3,466.00",0,2025-04-13,9
9/12,"1,456.00",,0,2025-04-13,9
4TH DOUBLE TRIO,"3,5,9/4,7,12","3,679,826.00",0,2025-04-13,9
Pool,Winning Combination,Dividend (HK$),0,2025-04-13,10
WIN,9,51.50,0,2025-04-13,10
PLACE,9,18.50,0,2025-04-13,10
12,16.50,,0,2025-04-13,10
7,31.50,,0,2025-04-13,10
QUINELLA,"9,12",114.50,0,2025-04-13,10
QUINELLA PLACE,"9,12",50.00,0,2025-04-13,10
"7,9",88.50,,0,2025-04-13,10
"7,12",87.50,,0,2025-04-13,10
FORECAST,"9,12",265.00,0,2025-04-13,10
TIERCE,"9,12,7","1,941.00",0,2025-04-13,10
TRIO,"7,9,12",376.00,0,2025-04-13,10
FIRST 4,"3,7,9,12",334.00,0,2025-04-13,10
QUARTET,"9,12,7,3","6,861.00",0,2025-04-13,10
9TH DOUBLE,4/9,"5,525.00",0,2025-04-13,10
4/12,"1,152.00",,0,2025-04-13,10
Pool,Winning Combination,Dividend (HK$),0,2025-04-13,2
WIN,4,101.50,0,2025-04-13,2
PLACE,4,31.00,0,2025-04-13,2
2,23.00,,0,2025-04-13,2
12,43.50,,0,2025-04-13,2
QUINELLA,"2,4",552.50,0,2025-04-13,2
QUINELLA PLACE,"2,4",174.00,0,2025-04-13,2
"4,12",300.50,,0,2025-04-13,2
"2,12",179.00,,0,2025-04-13,2
FORECAST,"4,2","1,154.00",0,2025-04-13,2
TIERCE,"4,2,12","15,894.00",0,2025-04-13,2
TRIO,"2,4,12","3,059.00",0,2025-04-13,2
FIRST 4,"2,4,9,12","11,953.00",0,2025-04-13,2
QUARTET,"4,2,12,9","241,444.00",0,2025-04-13,2
1ST DOUBLE,6/4,167.00,0,2025-04-13,2
6/2,15.50,,0,2025-04-13,2
Pool,Winning Combination,Dividend (HK$),0,2025-04-13,3
WIN,11,92.00,0,2025-04-13,3
PLACE,11,30.50,0,2025-04-13,3
6,16.50,,0,2025-04-13,3
7,26.00,,0,2025-04-13,3
QUINELLA,"6,11",270.50,0,2025-04-13,3
QUINELLA PLACE,"6,11",89.00,0,2025-04-13,3
"7,11",125.00,,0,2025-04-13,3
"6,7",72.50,,0,2025-04-13,3
FORECAST,"11,6",532.00,0,2025-04-13,3
TIERCE,"11,6,7","5,033.00",0,2025-04-13,3
TRIO,"6,7,11",681.00,0,2025-04-13,3
FIRST 4,"4,6,7,11","1,469.00",0,2025-04-13,3
QUARTET,"11,6,7,4","42,449.00",0,2025-04-13,3
2ND DOUBLE,4/11,"1,108.50",0,2025-04-13,3
4/6,107.00,,0,2025-04-13,3
1ST DOUBLE TRIO,"2,4,12/6,7,11","262,781.00",0,2025-04-13,3
Pool,Winning Combination,Dividend (HK$),0,2023-09-17,1
WIN,4,13.00,0,2023-09-17,1
PLACE,4,10.50,0,2023-09-17,1
5,41.50,,0,2023-09-17,1
QUINELLA,"4,5",63.00,0,2023-09-17,1
FORECAST,"4,5",78.00,0,2023-09-17,1
TIERCE,"4,5,1",294.00,0,2023-09-17,1
TRIO,"1,4,5",94.00,0,2023-09-17,1
FIRST 4,"1,4,5,6",36.00,0,2023-09-17,1
QUARTET,"4,5,1,6",557.00,0,2023-09-17,1
Pool,Winning Combination,Dividend (HK$),0,2023-09-17,6
WIN,11,103.50,0,2023-09-17,6
PLACE,11,29.50,0,2023-09-17,6
7,15.00,,0,2023-09-17,6
10,35.50,,0,2023-09-17,6
QUINELLA,"7,11",142.50,0,2023-09-17,6
QUINELLA PLACE,"7,11",58.00,0,2023-09-17,6
"10,11",188.50,,0,2023-09-17,6
"7,10",83.50,,0,2023-09-17,6
FORECAST,"11,7",397.00,0,2023-09-17,6
TIERCE,"11,7,10","3,998.00",0,2023-09-17,6
TRIO,"7,10,11",633.00,0,2023-09-17,6
FIRST 4,"7,8,10,11","2,196.00",0,2023-09-17,6
QUARTET,"11,7,10,8","47,767.00",0,2023-09-17,6
5TH DOUBLE,10/11,"3,368.50",0,2023-09-17,6
10/7,225.00,,0,2023-09-17,6
3RD DOUBLE TRIO,"2,8,10/7,10,11","260,869.00",0,2023-09-17,6
TRIPLE TRIO(Consolation),"3,5,7/2,8,10/Any Combination","317,624.00",0,2023-09-17,6
Pool,Winning Combination,Dividend (HK$),0,2023-09-17,7
WIN,3,36.00,0,2023-09-17,7
PLACE,3,13.50,0,2023-09-17,7
2,43.00,,0,2023-09-17,7
4,13.00,,0,2023-09-17,7
